Time_Peltier_On_	T1	T2
34:10.3	-3.008	-2.936
34:10.5	-3.039	-2.959
34:10.7	-3.028	-2.97
34:10.9	-3.016	-2.973
34:11.1	-3.059	-2.967
34:11.3	-3.076	-3.004
34:11.5	-3.076	-3.004
34:11.7	-3.09	-3.044
34:11.9	-3.09	-3.035
34:12.1	-3.113	-3.047
34:12.3	-3.113	-3.067
34:12.5	-3.135	-3.103
34:12.7	-3.183	-3.103
34:12.9	-3.169	-3.123
34:13.1	-3.172	-3.109
34:13.3	-3.203	-3.12
34:13.5	-3.234	-3.152
34:13.7	-3.229	-3.16
34:13.9	-3.257	-3.18
34:14.1	-3.254	-3.194
34:14.3	-3.263	-3.211
34:14.5	-3.285	-3.225
34:14.7	-3.294	-3.234
34:14.9	-3.305	-3.242
34:15.1	-3.325	-3.268
34:15.3	-3.342	-3.254
34:15.5	-3.328	-3.299
34:15.7	-3.356	-3.296
34:15.9	-3.362	-3.31
34:16.1	-3.365	-3.316
34:16.3	-3.382	-3.336
34:16.5	-3.404	-3.339
34:16.7	-3.424	-3.356
34:16.9	-3.441	-3.367
34:17.1	-3.436	-3.39
34:17.3	-3.484	-3.398
34:17.5	-3.481	-3.418
34:17.7	-3.47	-3.435
34:17.9	-3.498	-3.443
34:18.1	-3.521	-3.452
34:18.3	-3.538	-3.475
34:18.5	-3.532	-3.475
34:18.7	-3.549	-3.509
34:18.9	-3.557	-3.489
34:19.1	-3.58	-3.534
34:19.3	-3.608	-3.531
34:19.5	-3.625	-3.554
34:19.7	-3.62	-3.562
34:19.9	-3.611	-3.582
34:20.1	-3.654	-3.588
34:20.3	-3.671	-3.602
34:20.5	-3.671	-3.608
34:20.7	-3.71	-3.628
34:20.9	-3.705	-3.645
34:21.1	-3.713	-3.67
34:21.3	-3.727	-3.67
34:21.5	-3.744	-3.659
34:21.7	-3.725	-3.687
34:21.9	-3.784	-3.701
34:22.1	-3.773	-3.738
34:22.3	-3.776	-3.732
34:22.5	-3.781	-3.738
34:22.7	-3.821	-3.749
34:22.9	-3.83	-3.758
34:23.1	-3.852	-3.792
34:23.3	-3.855	-3.823
34:23.5	-3.886	-3.829
34:23.7	-3.878	-3.826
34:23.9	-3.906	-3.834
34:24.1	-3.895	-3.849
34:24.3	-3.951	-3.88
34:24.5	-3.937	-3.871
34:24.7	-3.949	-3.911
34:24.9	-3.966	-3.911
34:25.1	-3.954	-3.908
34:25.3	-3.991	-3.917
34:25.5	-3.994	-3.928
34:25.7	-4.017	-3.948
34:25.9	-4.051	-3.945
34:26.1	-4.045	-3.985
34:26.3	-4.051	-4.002
34:26.5	-4.048	-3.987
34:26.7	-4.104	-4.022
34:26.9	-4.107	-4.038
34:27.1	-4.116	-4.036
34:27.3	-4.121	-4.058
34:27.5	-4.124	-4.067
34:27.7	-4.138	-4.092
34:27.9	-4.155	-4.109
34:28.1	-4.158	-4.109
34:28.3	-4.181	-4.109
34:28.5	-4.195	-4.132
34:28.7	-4.204	-4.158
34:28.9	-4.229	-4.189
34:29.1	-4.243	-4.186
34:29.3	-4.249	-4.189
34:29.5	-4.274	-4.206
34:29.7	-4.257	-4.209
34:29.9	-4.297	-4.234
34:30.1	-4.291	-4.24
34:30.3	-4.334	-4.254
34:30.5	-4.354	-4.262
34:30.7	-4.334	-4.277
34:30.9	-4.393	-4.288
34:31.1	-4.379	-4.328
34:31.3	-4.396	-4.299
34:31.5	-4.405	-4.339
34:31.7	-4.399	-4.336
34:31.9	-4.408	-4.342
34:32.1	-4.399	-4.393
34:32.3	-4.456	-4.376
34:32.5	-4.47	-4.393
34:32.7	-4.473	-4.413
34:32.9	-4.515	-4.441
34:33.1	-4.495	-4.43
34:33.3	-4.521	-4.438
34:33.5	-4.524	-4.478
34:33.7	-4.535	-4.469
34:33.9	-4.541	-4.483
34:34.1	-4.561	-4.5
34:34.3	-4.569	-4.523
34:34.5	-4.589	-4.543
34:34.7	-4.583	-4.551
34:34.9	-4.603	-4.546
34:35.1	-4.637	-4.583
34:35.3	-4.643	-4.577
34:35.5	-4.663	-4.602
34:35.7	-4.646	-4.617
34:35.9	-4.68	-4.625
34:36.1	-4.688	-4.665
34:36.3	-4.694	-4.642
34:36.5	-4.728	-4.665
34:36.7	-4.719	-4.653
34:36.9	-4.742	-4.687
34:37.1	-4.767	-4.682
34:37.3	-4.779	-4.702
34:37.5	-4.779	-4.724
34:37.7	-4.787	-4.73
34:37.9	-4.816	-4.741
34:38.1	-4.804	-4.75
34:38.3	-4.836	-4.801
34:38.5	-4.878	-4.775
34:38.7	-4.864	-4.784
34:38.9	-4.887	-4.832
34:39.1	-4.895	-4.826
34:39.3	-4.912	-4.835
34:39.5	-4.938	-4.843
34:39.7	-4.932	-4.869
34:39.9	-4.966	-4.866
34:40.1	-4.949	-4.897
34:40.3	-4.974	-4.897
34:40.5	-5.003	-4.911
34:40.7	-5	-4.94
34:40.9	-5.006	-4.934
34:41.1	-5.025	-4.962
34:41.3	-5.045	-4.999
34:41.5	-5.059	-4.999
34:41.7	-5.059	-5.008
34:41.9	-5.079	-5.005
34:42.1	-5.076	-5.05
34:42.3	-5.108	-5.05
34:42.5	-5.13	-5.064
34:42.7	-5.159	-5.067
34:42.9	-5.176	-5.095
34:43.1	-5.173	-5.087
34:43.3	-5.195	-5.144
34:43.5	-5.195	-5.127
34:43.7	-5.212	-5.144
34:43.9	-5.21	-5.166
34:44.1	-5.235	-5.172
34:44.3	-5.244	-5.183
34:44.5	-5.266	-5.192
34:44.7	-5.258	-5.209
34:44.9	-5.275	-5.229
34:45.1	-5.3	-5.232
34:45.3	-5.312	-5.249
